Start DDI;End DDI;Size
551137685267;551137685276;10
551137685277;551137685286;10
551137685287;551137685296;10
551137685297;551137685306;10
551137685307;551137685316;10
551137685317;551137685326;10
551137685327;551137685336;10
551137685337;551137685346;10
551137685347;551137685356;10
551137685357;551137685366;10
551137685367;551137685376;10
551137685377;551137685386;10
551137685387;551137685396;10
551137685397;551137685406;10
551137685407;551137685416;10
551137685417;551137685426;10
551137685427;551137685436;10
551137685437;551137685446;10
551137685447;551137685456;10
551137685457;551137685466;10
551137685467;551137685476;10
551137685477;551137685486;10
551137685487;551137685496;10
551137685497;551137685506;10
551137685507;551137685516;10
551137685517;551137685526;10
551137685527;551137685536;10
551137685537;551137685546;10
551137685547;551137685556;10
551137685557;551137685566;10
551137685567;551137685576;10
551137685577;551137685586;10
551137685587;551137685596;10
551137685597;551137685606;10
551137685607;551137685616;10
551137685617;551137685626;10
551137685627;551137685636;10
551137685637;551137685646;10
551137685647;551137685656;10
551137685657;551137685666;10
551137685667;551137685676;10
551137685677;551137685686;10
551137685687;551137685696;10
551137685697;551137685706;10
551137685707;551137685716;10
551137685717;551137685726;10
551137685727;551137685736;10
551137685737;551137685746;10
551137685747;551137685756;10
551137685757;551137685766;10
551137685767;551137685776;10
551137685777;551137685786;10
551137685787;551137685796;10
551137685797;551137685806;10
551137685807;551137685816;10
551137685817;551137685826;10
551137685827;551137685836;10
551137685837;551137685846;10
551137685847;551137685856;10
551137685857;551137685866;10
551137685867;551137685876;10
551137685877;551137685886;10
551137685887;551137685896;10
551137685897;551137685906;10
551137685907;551137685916;10
551137685917;551137685926;10
551137685927;551137685936;10
551137685937;551137685946;10
551137685947;551137685956;10
551137685957;551137685966;10
551137685967;551137685976;10
551137685977;551137685986;10
551137685987;551137685996;10
551137685997;551137686006;10
551137686007;551137686016;10
551137686017;551137686026;10
551137686027;551137686036;10
551137686037;551137686046;10
551137686047;551137686056;10
551137686057;551137686066;10
551137686067;551137686076;10
551137686077;551137686086;10
551137686087;551137686096;10
551137686097;551137686106;10
551137686107;551137686116;10
551137686117;551137686126;10
551137686127;551137686136;10
551137686137;551137686146;10
551137686147;551137686156;10
551137686157;551137686166;10
551137686167;551137686176;10
551137686177;551137686186;10
551137686187;551137686196;10
551137686197;551137686206;10
551137686207;551137686216;10
551137686217;551137686226;10
551137686227;551137686236;10
551137686237;551137686246;10
551137686247;551137686256;10
551137686257;551137686266;10
551137686267;551137686276;10
551137686277;551137686286;10
551137686287;551137686296;10
551137686297;551137686306;10
551137686307;551137686316;10
551137686317;551137686326;10
551137686327;551137686336;10
551137686337;551137686346;10
551137686347;551137686356;10
551137686357;551137686366;10
551137686367;551137686376;10
551137686377;551137686386;10
551137686387;551137686396;10
551137686397;551137686406;10
551137686407;551137686416;10
551137686417;551137686426;10
551137686427;551137686436;10
551137686437;551137686446;10
551137686447;551137686456;10
551137686457;551137686466;10
551137686467;551137686476;10
551137686477;551137686486;10
551137686487;551137686496;10
551137686497;551137686506;10
551137686507;551137686516;10
551137686517;551137686526;10
551137686527;551137686536;10
551137686537;551137686546;10
551137686547;551137686556;10
551137686557;551137686566;10
551137686567;551137686576;10
551137686577;551137686586;10
551137686587;551137686596;10
551137686597;551137686606;10
551137686607;551137686616;10
551137686617;551137686626;10
551137686627;551137686636;10
551137686637;551137686646;10
551137686647;551137686656;10
551137686657;551137686666;10
551137686667;551137686676;10
551137686677;551137686686;10
551137686687;551137686696;10
551137686697;551137686706;10
551137686707;551137686716;10
551137686717;551137686726;10
551137686727;551137686736;10
551137686737;551137686746;10
551137686747;551137686756;10
551137686757;551137686766;10
551137686767;551137686776;10
551137686777;551137686786;10
551137686787;551137686796;10
551137686797;551137686806;10
551137686807;551137686816;10
551137686817;551137686826;10
551137686827;551137686836;10
551137686837;551137686846;10
551137686847;551137686856;10
551137686857;551137686866;10
551137686867;551137686876;10
551137686877;551137686886;10
551137686887;551137686896;10
551137686897;551137686906;10
551137686907;551137686916;10
551137686917;551137686926;10
551137686927;551137686936;10
551137686937;551137686946;10
551137686947;551137686956;10
551137686957;551137686966;10
551137686967;551137686976;10
551137686977;551137686986;10
551137686987;551137686996;10
551137686997;551137686999;3
